1358,"VA Form 1358, Estimated Miscellaneous Obligation or Change in Obligation"
QA,Quality Assesment
QAM QM,Clinical Monitoring System
QAQ,The QM Integration Module (often called the QAQ routines) contains utilities that are common to some or all of the QM software packages.
QM (QAM),"Quality Management
QM Packages: Clinical Monitoring System, Incident Reporting, Occurrence Screen, Patient Feedback, Patient Representative, QM Integration Module"
QUASAR,Quality Audiology and Speech Pathology Audit and Review
RAD Delphi,"A Rapid Application Development (RAD) system/application developed by Borland International, Inc. Delphi is similar to Visual Basic from Microsoft, but whereas Visual Basic is based on the BASIC programming language, Delphi is based on Pascal."
RAI/MDS,Resident Assessment Instrument/Minimum Data Set
RAM,Resource Allocation Methodology
RDV,"Remote Data View
A CPRS application that allows a caregiver to view patient data that is stored at another VHA facility."
reconciliation,Comparing of two records to validate IFCAP Purchase Card orders. Purchase Card Users compare IFCAP generated purchase card order data with the Credit Charge (CC) transaction sent from the CCS system in Austin.
record,"Set of related data treated as a unit. An entry in a VA FileMan file constitutes a record. A collection of data items that refer to a specific entity (e.g., in a name-address-phone number file, each record would contain a collection of data relating to one person)."
Record Tracking system,"The VA Record Tracking system is a comprehensive software package, written to aid file activities in assuring optimum availability of these records to a broad range of users within and outside the facility. Functions which were previously done manually have been computerized, promoting greater efficiency, uniformity and accuracy. Demographic record information is now available on-line to a broad range of users as well as a variety of reports which have been included to assist management in workload analysis and quality assurance.
The system has been designed so that it may be used in conjunction with bar code technology, further enhancing efficiency and accuracy. The Record Tracking system uses VA FileManager, and integrates with the Radiology and PIMS packages in performance of its functions.
This package was originally designed for use in tracking Medical Administration and/or Radiology records. A great deal of flexibility has been built into the system so that it may be custom-tailored to meet the needs of practically any file activity."
reference terminology,A set of concepts and relationships that provides a common reference point for comparison and aggregation of data about the entire health care process.
registry medication,A defined list of medications used for a particular registry
registration process,"During a registration, if a patient does not have an ICN, the patient is checked against the entries in the MPI to determine if the patient already is established or needs to be added. The MPI may return a list of patients who are possible matches. If the patient is truly new and there are no potential matches on the MPI, the MPI will assign an ICN and assigns the requesting site as the CMOR. If the patient is already known at the MPI, the ICN and CMOR is returned and a HL7 message is sent to the CMOR to add this new facility to the list of Treating Facilities for this patient. Registration for patients who already have an ICN at the Facility. At the CMOR site, ADT-A04 Registration HL7 messages are sent to the MPI and the MPI then sends updates to those sites where the patient is known. These messages update the date of last activity and any changes to descriptive data. At a non-CMOR site an ADT-A04 message is sent to the CMOR, via the MPI."
RIL,"Repetitive Item List
A method the Control Point uses to order items in the Item File. The Control Point enters the Item Master Number, the quantity and vendor and IFCAP can sort and generate 2237 requests from the list. A RIL can be created by using the Auto-Generate feature within the Inventory portion of the package."
Risk Assessment,Part of the Surgery software that provides medical centers a mechanism to track information related to surgical risk and operative mortality. Completed assessments are transmitted to the NSQIP or the CICSP national database for statistical analysis.
RISO,"Regional Information Security Officer.
Regional representative of VA Medical Center Information Security Officers (ISOs)."
ROI,Release of Information
Requesting Site,"As is relates to HL7 Messages, it is the site initiating a message to another site requesting some action be taken."
Required Field,"A mandatory field, one that must not be left blank. The prompt for such a field will be repeated until the user enters a valid response."
Result,"A consequence of an order. Refers to evaluation or status results. In regards to Consult/Request Tracking (GMRC), results refer to a TIU document or Medicine procedure result attached to the consult or procedure request."
Requestor,"This is the health care provider (e. g., the physician/clinician) who requests the order to be done."
RFC,Request For Comments
RIS,Radiology Information System
RISO,"Regional Information Security Officer.
Regional representative of VA Medical Center Information Security Officers (ISOs)."
RN,Registered Nurse
ROES,"Remote Order Entry System
Software used by the Denver Distribution Center (DDC), the Precision Data Solutions Transcription Service software, and the VA Home Telehealth software."
routine,"Program or a sequence of instructions called by a program that may have some general or frequent use. M routines are groups of program lines, which are saved, loaded, and called as a single unit via a specific name."
routing slip,"When printed for a specified date, it shows the current appointmenttime, clinic, location and stop code. It also shows future appointments."
RPC,"Remote Procedure Call
Is a protocol that one program can use to request a service from a program located on another computer network. Essentially M code may take optional parameters to do some work and then return either a single value or an array back to the client application. Callbacks provided by the client-server architecture supported by the VistA host server and the Delphi client software."
RPCBroker,The Client-Server interface component.
RPMS,Resource and Patient Management System
RSNA,Radiological Society of North America
RUG,Resource Utilization Group
Running Balance,"A running record of all the transactions generated and approved for a Control Point. Provides information that shows the total amount of funds committed, obligated, and remaining to be spent for a specified fiscal quarter."
RVC,Reason for Visit Classification for Amb Care
SAGG,Statistical Analysis of Global Growth
SAC,"Standards and Conventions.
Through a process of quality assurance, all VistA software is reviewed with respect to SAC guidelines as set forth by the Standards and Conventions Committee (SACC)."
SACC,VistA's Standards and Conventions Committee. This Committee is responsible for maintaining the SAC.
SCD,Spinal Cord Dysfunction
scheduling options,"The technique of requesting that Task Manager run an option at a given time, perhaps with a given rescheduling frequency."
scheduled operation,"Operation has both an operating room and a scheduled starting time, but the operation has not yet begun."
SCP,Service Class Provider
screen editor,VA FileMan's Screen-oriented text editor. It can be used to enter data into any WORD-PROCESSING field using full-screen editing instead of line-by-line editing.
Screen Server,"Screen Server is a screen-based data entry utility. It allows the user to display and select data elements for entering, editing, and deleting information. The format is designed to display a number of data fields at one time on a menu. With Screen Server, a number of data elements are displayed at one time on a menu and the user is able to choose on which element to work. Each Screen Server arrangement consists of three basic parts: a header, data elements, and an action prompt."
ScreenMan,VA FileMan utility that provides a screen-oriented interface for editing and displaying data
Screenman Forms,"Screen-oriented display of fields, for editing or simply for reading. VA FileMan's Screen Manager is used to create forms that are stored in the FORM file (#.403) and exported with a software application. Forms are composed of blocks (stored in the BLOCK file #.404) and can be regular, full screen pages or smaller, ""pop-up"" pages."
SCU,"Service Class User
Software Design Document"
Section 508,"Section 508 of the Rehabilitation Act Amendments of 1998 requires that when Federal agencies develop, procure, maintain, or use electronic and information technology, they shall ensure that the electronic and information technology allows persons with disabilities to have access to and use of information and data that is comparable to the access to and use of information and data by persons who are not individuals with disabilities, unless an undue burden would be imposed on the agency."
Security Key,"The purpose of Security Keys is to set a layer of protection on the range of computing capabilities available with a particular software package. The availability of options is based on the level of system access granted to each user.
Functions very much like your house or office key. Certain options may be locked with a key and that key assigned only to authorized users."
Sensitive Patient,"Patient whose record contains certain information, which may be deemed sensitive by a facility, such as political figures, employees, patients with a particular eligibility or medical condition. If a shared patient is flagged as sensitive at one of the treating sites, a bulletin is sent to the DG SENSITIVITY mail group at each subscribing site telling where, when, and by whom the flag was set. Each site can then review whether the circumstances meet the local criteria for sensitivity flagging."
SERA,Systematic External Review of Autopsies.
SERS,Systematic External Review of Surgical Pathology.
service,"Medical care and items such as medical diagnosis and treatment, drugs and biologicals, supplies, appliances, and equipment, medical social services, and use of hospital Regional Primary Care Hospital (RPCH) or Skilled Nursing Facility (SNF) facilities."
shared patient,"Patient who has been seen at more than one site. The CMOR keeps the Treating Facility list updated every time a new facility where the patient has been seen identifies itself to the MPI. The CMOR then broadcasts, through the MPI, the updated lists to all the other facilities that share this patient."
Site Manager/IRM Chief,"At each site, the individual who is responsible for managing computer systems, installing and maintaining new modules, and serving as a liaison to the CIO Field Offices."
SMD,"Secure Menu Delegation
A controlled system whereby menus and keys can be allocated by people other than IRM staff, such as application coordinators, who have been so authorized."
SNOMED,"Systematized Nomenclature of Medicine
Maintained and distributed by the College of American Pathologists, the Systematized Nomenclature of Medicine - Clinical Terminology was first introduced in 1965. SNOMED CP - SNOMED Clinical Terms
medical standards"
software,"The set of programs, files, documentation, help prompts, and installation procedures required for a given application (e.g., Laboratory, Pharmacy, and PIMS). A VistA software environment is composed of elements specified via the PACKAGE file (#9.4). Elements include files, associated templates, namespaced routines, and namespaced file entries from the OPTION, HELP FRAME, BULLETIN, and FUNCTION files. As public domain software, VistA software can be requested through the FOIA."
SOP,Service-Object Pair
Spacebar Return,You can answer a VA FileMan prompt by pressing the spacebar and then the Return key. This indicates to VA FileMan that you would like the last response you were working on at that prompt recalled.
SPD,"Supply, Processing, Distribution"
special queuing,Option attribute indicating that Task Manager should automatically run the option whenever the system reboots.
Special Survey,An ongoing survey of care given to patients all eging Agent Orangeor ionizing radiation exposure. Each visit by such a patient must receive special survey dispositioning which records whether treatment provided was related to that exposure. This data is used for congressional reporting purposes.
SQA,Software Quality Assurance
SQLI,SQL Interface
SRS,Software Requirements Specifications
SSDI,"Social Security Death Index
is a database used for genealogical research as well as enabling users to locate a death certificate, find an obituary, discover cemetery records and track down probate records. IMDQ uses the SSDI (http://ssdi.rootsweb.com/) as a resource for verifying patients’ dates of death."
SSN,Social Security Number
SSO,"1. Standard setting organization - an organization accredited by the American National Standards Institute that develops and maintains standards for information transactions or data elements, or any other standard that is necessary for, or will facilitate the implementation of, this part.
2.Single Sign On"
SSO/UC,Single Signon/User Context
Stacked Documents,"The purchase orders, receiving reports, and 1358s which are sent electronically to Fiscal and stored in a file for printing at a later time rather than being printed immediately."
stop code,A three-digit number corresponding to an additional stop/service a patient received in conjunction with a clinic visit. Stop code entries are used so that medical facilities may receive credit for the services rendered during a patient visit.
STS,Standards and Terminology Services
subscript,"A symbol that is associated with the name of a set to identify a particular subset or element. In M, a numeric or string value that: is enclosed in parentheses, is appended to the name of a local or global variable, and identifies a specific node within an array."
Supported Reference Integration Agreement,"This applies where any VistA application may use the attributes/functions defined by the IA (these are also called ""Public ""). An example is an IA that describes a standard API such as DIE or VADPT. The package that creates/maintains the Supported Reference must ensure it is recorded as a Supported Reference in the IA database. There is no need for other VistA packages to request an IA to use these references; they are open to all by default."
SR,Surgery
standards,"Medical standards: HL7, SNOMED, DICOM, ACR, ICD, COSTAR, HCPCS, COSTART, MedDRA, DoDFAC, DSM-IIIR, LOINC, MCMASTER"
Survey Generator,"is a software package which allows creation and maintenance of computerized survey forms. It also provides for entry of any respondents answers via computer terminal or a hard copy filled out and then entered by any designated person. In addition, it provides useful statistical information by survey alone or by demographic data items."
system identifier,"is a three character code that identifies the code sheet type. For example, AMS represents Amis code sheets, NSY represents staffing management code sheets, WGE represents wage survey code sheets, etc."
systems of interest,"VA facilities that have seen patients and entered them as entries onto the MPI. This also refers to non-VistA systems that have a registered interest in a patient (e.g., Federal Health Information Exchange [FHIE], HomeTeleHealth, Person Service Identity Management [PSIM], Health Data Repository [HDR], etc)."
T&TC,508 Accessibility Testing and Training Center
Task Manager,Kernel module that schedules and processes background tasks (also called TaskMan)
TITLE 38,Service Connected Disabilities
template,"A template is a structured aggregation of one or more archetypes, with optional order, used to represent clinical data.
1. Means of storing report formats, data entry formats, and sorted entry sequences. A template is a permanent place to store selected fields for use at a later time. Edit sequences are stored in the INPUT TEMPLATE file (#.402), print specifications are stored in the PRINT TEMPLATE file (#.4), and search or sort specifications are stored in the SORT
2. An HL7 template is a data structure, based on the HL7 Reference Information Model that expresses the data content needed in a specific clinical or administrative context. Templates are drawn from the RIM and make use of HL7 vocabulary domains. Templates have been described as constraints on HL7 artifacts."
TIU,"Text Integration Utility
1. TIU is a software package written and maintained by VHA that allows users to create many different types of clinical documents and store them in a patient’s electronic record.
TIU application was designed as a repository for a variety of text documents that belong in the patient record. The purpose of TIU is to simplify the access and use of clinical documents for both clinical and administrative VAMC personnel, by standardizing the way clinical documents are managed. TIU includes a document hierarchy that is made up of Classes, Document Classes and Document titles. Titles a under a Document Class take on the characteristics of that document class and each document class has its own unique requirements.
Text Integration Utilities (TIU) simplifies the access and use of clinical documents for both clinical and administrative VAMC personnel, by standardizing the way clinical documents are managed. In connection with Authorization/Subscription Utility (ASU), a hospital can set up policies and practices for determining who is responsible or has the privilege for performing various actions on required VHA documents."
TIUHL7,"TIU Generic HL7 Interface
The TIU Generic HL7 Interface (TIUHL7) consists of the following components: Logical Link(s), Receiving Application, Event Driver, Subscriber, Sending Application."
TLC,total lung capacity.
third party billings,Billings where a party other than the patient is billed.
transaction,"the transmission of information between two parties to carry out financial or administrative activities related to health care. It includes the following types of information transmissions:
(1) Health care claims or equivalent encounter information.
(2) Health care payment and remittance advice.
(3) Coordination of benefits.
(4) Health care claim status.
(5) Enrollment and disenrollment in a health plan.
(6) Eligibility for a health plan.
(7) Health plan premium payments.
(8) Referral certification and authorization.
(9) First report of injury.
(10) Health claims attachments.
(11) Other transactions that the Secretary may prescribe by regulation."
Transaction Number,funded a Control Point (See Budget Analyst User’s Guide). It consists of the Station Number – Fiscal Year – Quarter – Control Point – Sequence Number.
treating facility,"Any facility (VAMC) where a patient has applied for care, or has been added to the local PATIENT file (#2) (regardless of VISN) and has identified this patient to the MPI will be placed in the TREATING FACILITY LIST file (#391.91)."
Treating Facility List,Table of institutions at which the patient has received care. This list is used to create subscriptions for the delivery of patient clinical and demographic information between sites.
Trigger,"A type of VA FileMan cross-reference. Often used to update values in the database given certain conditions (as specified in the trigger logic). For example, whenever an entry is made in a file, a trigger could automatically enter the current date into another field holding the creation date."
trigger events,An activity in VistA that creates HL7 messages.
trim point,The expected Length of Stay range based on the LOS distribution for each DRG category.
TSR,Treating Specialty Report
TWAIN,"An interface standard for scanners, cameras and other input devices. A TWAIN driver is generally supplied by the equipment vendor."
UB-92,A uniform institutional claim form developed by the National Uniform Billing Committee (NUBC) that has been in use since 1993.
UCI,User Class Identification
UD,Unit Dose
UID,Unique Identifier
UMDNS,Universal Medical Device Nomenclature System
UMLS,"Unified Medical Language System.
A project initiated by the National Library of Medicine to collect and map several terminologies to each others in order to facilitate access to biomedical resources. Thus, a clinician could the same set of words to search both articles indexed with MeSH and patients whose data was encoded with SNOMED."
UNDEF,Undefined Code/Coding System
unit of issue,"A description of the quantity/packaging combination in which the item is issued to the end user; it may be different from the Unit of Purchase, which is the combination used when the item is procured from the vendor. For example, a vendor may sell an item in cases of 24 cans, but the end user receives individual cans from that case."
unit of purchase,"A description of the quantity/packaging combination in which VA purchases the item from the vendor; it may be different from the Unit of Issue, which is the combination used to actually issue the item to the end user. See also Unit Conversion Factor."
US,Ultrasound
user,"An Administrator, a Clinician, or a Researcher"
user access,"a limited level of access, to a computer system, which is sufficient for using/operating a package, but does not allow programming, modification to data dictionaries, or other operations that require programmer access. Any option, for example, can be locked with the key XUPROGMODE, which means that invoking that option requires programmer access. The user’s access level determines the degree of computer use and the types of computer programs available. The System Manager assigns the user an access level."
User Class,User Classes are the basic components of the User Class hierarchy of ASU which allows sites to designate who is authorized to do what to documents or other clinical entities.
USR (ASU),Authorization/Subscription
UWA92,Glossary of Neuronames
VA,"Veterans Affairs, Department of Veterans Affairs"
VACO,Veterans Affairs Central Office
VADATS,Veterans Administration Data Transmission System
VALM,List Manager
VAMC,Veterans Affairs Medical Centers
VARO,Veterans Administration Regional Office
VBA,Veteran Benefits Administration
VBA IBBA,"VBA Intranet BDN / BIRLS Access (IBBA)
This VBA application is designed for Web browser access to veteran information data bases (Currently, Benefits Delivery Network (BDN) and BIRLS and the Vocational Rehabilitation and Employment master record."
VBA SHARE,"This is a VBA application which is utilized by the Regional Offices to access BIRLS, C&P, PIF, PHF, Corporate Database, Social Security and COVERS records. IMDQ uses VBA SHARE as a resource for verifying patient identity data as well as military information."
VDEF,VistA Data Extraction Framework
VDSI,VistA Data Systems & Integration.
Vendor file,"An IFCAP file of vendor information solicited by the facility. This file contains ordering and billing addresses, contract information, FPDS information and telephone numbers. The debtor’s address may be drawn from this file, but is maintained separately. If the desired vendor is not in the file, contact A&MM Service to have it added.
An IFCAP (or FMS) file of vendors with which the facility does business. This file contains ordering and billing addresses, contract information, FPDS information and telephone numbers. File 440 contains information about the vendors that your station does business with. The debtor's address may be drawn from this file but is maintained separately. If the desired vendor is not in the file, contact A&MM Service to have it added."
Vendor ID Number,The ID number assigned to a vendor by FMS.
VERA,Veterans Equitable Resource Allocation
verify code,The Kernel's Sign-on/Security system uses the Verify code to validate the user's identity. This is an additional security precaution used in conjunction with the Access code.
VHA,Veterans Health Administration
VIC,Veteran Identification Card
VIE,"VistA Interface Engine
communication components work concurrently to model, automate, track, and optimize communication processes within and between data systems, providing a high emphasis on security and reliability. The product also enables real-time, multi-directional communication among VistA applications, the Health Data Repository (), Commercial-Off-The-Shelf (COTS) products, and other systems. In other words, VIE provides an integrated environment for managing the flow of critical information throughout the VHA's corporate business systems, as well as through external vendors and computer systems. This is the formal communications gateway to VistA applications. Formerly called the Vitria Interface Engine. Information on setup and operation of the VIE component is located on VIE’s web page at: http://vista.med.va.gov/messaging/vie"
VIS,"Veterans Information Solution
This intranet-based application is designed to provide a consolidated view of information about veterans and active service members. The IMDQ uses VIS as a resource for verifying patient identity data as well as military information."
visit,"Each encounter with a provider during a patient’s appointment; can also be a telephone call or a walk-in.
encounter"
Visit Tracking (VSIT),A VISTA package which links patient-related information in a file structure that allows meaningful reporting and historically accurate categorization of patient events and episodes of care.
VISN,"Veterans Information System Network
is the collective name of the regional organizations that manage computerization within a region."
VIST,Visual Impairment Service Team
VistA,"Veterans Health Information Systems and Technology Architecture (VistA) of the Veterans Health Administration (VHA), Department of Veterans Affairs (VA)
VistA software, developed by the VA, is used to support clinical and administrative functions at VHA sites nationwide. It is both roll-and-scroll- and GUI-based software that undergoes a quality assurance process to ensure conformity with namespacing and other VistA standards and conventions (see SAC).
Server-side code is written in M, and, via Kernel, runs on all major M implementations regardless of vendor. Client-side code is written in Java or Borland Delphi and runs on the Microsoft operating system."
VistA Toaster,"is an appliance (virtual machine) consisting of VistA, GT.M and Linux that runs under QEMU (http://fabrice.bellard.free.fr/qemu/), which enables the toaster to operate under Linux, Mac OS X and Windows.
QEMU - open source processor emulator. QEMU is an emulator for various CPUs. It works on Linux, Windows, FreeBSD and Mac OS X.
QEMU is a generic and open source machine emulator and virtualizer.
When used as a machine emulator, QEMU can run OSes and programs made for one machine (e.g. an ARM board) on a different machine (e.g. your own PC). By using dynamic translation, it achieves very good performances.
When used as a virtualizer, QEMU achieves near native performances by executing the guest code directly on the host CPU. A host driver called the QEMU accelerator (also known as KQEMU) is needed in this case. The virtualizer mode requires that both the host and guest machine use x86 compatible processors."
VistALink 1.5,"VistALink 1.5 resource adapter is a transport layer that provides communication between HealtheVet-VistA Java applications and VistA/M servers, in both client-server and n-tier environments. It allows Java applications to execute remote procedure calls (RPCs) on the VistA/M system and retrieve results, synchronously. VistALink 1.5 is also referred to as “VistALink J2M.”
VistALink consists of Java-side adapter libraries and an M-side listener:
- The adapter libraries use the J2EE Connector Architecture (J2CA 1.0) specification to integrate Java applications with legacy systems.
- The M listener process receives and processes requests from client applications."
VistAWeb,"is an intranet web application used to review remote patient information found in VistA and the HDR databases. To a large extent, VistAWeb mirrors the reports behavior of the Computerized Patient Record System (CPRS) and Remote Data View (RDV). However, by permitting a more robust and timely retrieval of remote-site patient data, VistAWeb is also an enhancement to CPRS/RDV.
There are three ways to access VistAWeb. VistAWeb can be made available by adding it to the CPRS Tools Menu, and it can be selected as the default method of retrieving data from the Remote Data Available button in CPRS. These two methods are referred to as CPRS-spawned versions of VistAWeb. They are compliant with the HL7 Clinical Context Object Workgroup (CCOW) standards and therefore maintain context with the patient selected in CPRS. As a third option, VistAWeb can be accessed in a standalone mode by entering the uniform resource locator (URL) link (https://vistaweb.med.va.gov/) in the Internet Explorer address bar. Эти методы совместимы"
Vitals application,"The Vitals application is designed to collect the vital signs and measurements that are associated with a patient's hospital stay or outpatient clinic visit, and store the data in the patient's electronic medical record. Data can be accessed by several VistA applications that interface with the Vitals/Measurements application, such as CPRS, Health Summary, and Pharmacy. The Vitals module is used to enter vitals data, create user templates, view allergies, mark incorrect vitals as entered in error, and edit user preferences for data display on the vitals data table. The Vitals module also allows users to print several different Vitals reports.
Vitals has been made CCOW-compliant and can now synchronize with other CCOW-compliant VistA applications.
VITL5_P18.EXE - инсталляционный файл. После установки требеут соединения с сервером VistA, порт 9200."
VL,Visible Light
VMC,"VistA Magnetic Cache
The files servers’ setup as shares in the network location file for newly captured and recently access clinical images."
VOI,Volume of Interest
VPFS,Veterans Personal Finance System
VR,Value Representation
VRQ,"FMS Vendor Request document.
When a new vendor is added to IFCAP a VRQ message is sent electronically to the Austin FMS Vendor unit to determine if the vendor exists in the central vendor system. If the vendor is not in the system, Austin will confirm information and establish the vendor in the central file. If vendor exists in central file already, Austin will verify the data. See also VUP."
VSIT,Visit Tracking
VSS,Voluntary Service System
VTA,Veteran Tracking Application
VUID,"VHA Unique Identifier
are meaningless numbers that are automatically assigned to concepts, properties, and relationships in a terminology to facilitate their access and manipulation by computers."
VUP,"Vendor Update Message.
This message is sent electronically from the FMS system to ALL IFCAP sites to ensure that the local vendor file contains the same data as the central vendor file in Austin. This message will contain the FMS Vendor ID for the vendor and also the Alternate Address Indicator if applicable. See also VRQ."
WKLD,The Workload (WKLD) codes are based on the CAPcodes. Specific instruments and products are referenced by the Workload codes. These references should not be perceived as endorsement or approvals by the VistA system or the Laboratory software package.
WorldVistA,"WorldVistA was formed to extend and collaboratively improve the VistA electronic health record and health information system for use outside of its original setting. The system was originally developed by the U.S. Department of Veterans Affairs (VA) for use in its veterans hospitals, outpatient clinics, and nursing homes. WorldVistA has a number of development efforts aimed at adding new software modules such as pediatrics, obstetrics, and other functions not used in the veterans' healthcare setting. WorldVistA seeks to help those who choose to adopt the VistA system to successfully master, install, and maintain the software for their own use. WorldVistA will strive to guide VistA adopters and programmers towards developing a community based on principles of open, collaborative, peer review software development and dissemination. [http://worldvista.org]"
WWU,Weighted Work Unit
XA,X-Ray Angiography
XT,Toolkit
